emp_id,first_name,last_name,contact,gender,age
1,Garrott,Paolino,492-256-6703,Male,41
2,Philippine,Perin,161-259-6472,Agender,7
3,Filbert,Wilkowski,212-188-9327,Male,34
4,Cobbie,Cometti,803-128-4385,Male,33
5,Farlie,Shingfield,349-919-3504,Male,10
6,Talbot,Derobert,497-252-4159,Male,45
7,Kale,Coole,967-673-4683,Agender,23
8,Emalee,Trood,560-160-7005,Female,39
9,Sheree,Hynam,807-304-9622,Polygender,21
10,Kara,Colqueran,895-569-6875,Female,26
11,Hyatt,Cesco,651-977-0765,Male,7
12,Gaspard,Northover,204-776-0794,Male,34
13,Dodie,Kerby,301-124-2121,Polygender,32
14,Alexis,Farrimond,707-574-7041,Female,44
15,Hermina,Gaynes,386-740-7992,Female,22
16,Peterus,Ackroyd,749-283-3659,Male,14
17,Ursala,Symcox,683-883-2351,Female,36
18,Stefanie,Feldbrin,517-744-4332,Female,5
19,Nalani,Mustoo,791-673-9199,Female,39
20,Julienne,Ashington,779-112-8138,Female,20
