empid,salary,email
1,$37015.73,tbeadle0@goodreads.com
2,$59616.00,mthorrold1@tamu.edu
3,$58781.39,mjoyes2@nifty.com
4,$38727.53,salves3@lycos.com
5,$65682.68,hlarose4@ed.gov
6,$78644.64,wdoby5@xinhuanet.com
7,$45733.03,aspendlove6@rambler.ru
8,$47457.02,gsola7@mac.com
9,$67020.27,dmcshirie8@goodreads.com
10,$51319.97,ncron9@cafepress.com
11,$79113.88,ewerndleya@unesco.org
12,$30855.10,sgriffithb@jugem.jp
13,$41262.51,zethelstonec@oaic.gov.au
14,$62134.79,abrimblecombd@comsenz.com
15,$65884.56,esatee@blogspot.com
16,$67355.58,warrighif@wisc.edu
17,$52824.97,akitchinerg@symantec.com
18,$45423.38,mglynh@hhs.gov
19,$74456.62,hmaybeyi@symantec.com
20,$69347.29,pbolandj@statcounter.com
