emp_id,first_name,last_name,contact,gender,age
1,Jerrylee,Mechan,473-912-9563,Female,42
2,Worth,Jopling,192-627-7733,Male,39
3,Maddi,Roach,720-850-9843,Female,19
4,Martha,Andrault,327-997-3852,Female,47
5,Talia,Chopy,292-136-8559,Female,47
6,Godart,Beel,444-675-5091,Agender,16
7,Shermy,Crowcum,998-577-5736,Male,6
8,Bobbi,Mosedall,204-292-9577,Female,44
9,Tabina,Prandin,944-483-5549,Female,8
10,Lacee,Arkcoll,832-334-5086,Female,32
11,Prince,Hemstead,645-482-0253,Male,32
12,Brewer,Ofield,591-765-6789,Male,9
13,Fionnula,Baford,184-665-1107,Female,14
14,Fan,Renackowna,561-197-3621,Female,13
15,Josepha,Tiddeman,245-411-5972,Female,25
16,Arch,Sunley,968-865-2451,Male,50
17,Marnie,Attridge,971-244-8232,Female,15
18,Lilian,Eathorne,488-162-1105,Polygender,43
19,Meir,Larkins,758-945-1750,Male,38
20,Horacio,Frazer,389-712-6700,Male,33
